Product_title,Product_image,Packsize,Price,Price per unit
Tibaldi Maple Cured Streaky Bacon 200g,https://www.aldi.com.au/fileadmin/_processed_/f/1/csm_W46_SUPER_SAVERS_MEAT_1x1__5ee7ec45de.jpg,200g,$3.99,$19.95 per kg
"Ready, Set…Cook! Free Range Marinated Chicken Wings 500g",https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_W46_SUPER_SAVERS_MEAT_1x1_2_262602e05f.jpg,500g,$5.99,$11.98 per kg
KRC Pork Cordon Bleu 480g,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_W46_SUPER_SAVERS_MEAT_1x1_3_cd8e912565.jpg,480g,$8.99,$18.73 per kg
Bruemar Pork Belly Bites 600g,https://www.aldi.com.au/fileadmin/_processed_/d/a/csm_W46_SUPER_SAVERS_MEAT_1x1_4_4fd8449a7f.jpg,600g,$12.99,$21.65 per kg
Ingham’s Chicken Burgers Jumbo 24pk/1.65kg,https://www.aldi.com.au/fileadmin/_processed_/e/a/csm_W46_SUPER_SAVERS_MEAT_1x1_5_0b65ab492e.jpg,24pk,$11.99,$7.27 per kg
Specially Selected Gourmet Sausages 500g,https://www.aldi.com.au/fileadmin/_processed_/0/0/csm_ALN3662_1x1_SSV-NOV-B2_228x628__138570d505.jpg,ea,$5.99,$11.98 per kg
The Fishmonger Fresh Tasmanian Salmon Fillets 4pk/460g,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN3662_1x1_SSV-NOV-B2_228x628_2_19f30e980e.jpg,4pk,$9.99,$21.72 per kg
Brooklea Strawberry Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN3662_1x1_SSV-NOV-B1_228x628__171f753822.jpg,150g,99c,66c per 100g
Dentitex Advanced Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg,140g,$1.99,$1.42 per 100g
Dentitex Sensitive Plus Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,,$4.49,$4.08 per 100g
Market Fare Corn Cobs 1kg,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128__e655e9c06c.jpg,,c,see price in store*
Market Fare Corn Kernels 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_b2bba5422e.jpg,,$2.49,$2.49 per kg
Market Fare Garden Peas 1kg,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,,$1.99,$1.99 per kg
LACURA  Essentials BB Cream SPF 15 50ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_6_2dac99110b.jpg,,$4.99,$9.98 per 100ml
Forresters Sensations Wasabi Peanuts 240g,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3635_LTO_W44_1x1_228x128__887448a0aa.jpg,240g,$2.99,$12.46 per kg
Brooklea Vanilla Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_2_f9b4862ff5.jpg,150g,99c,66c per 100g
Brooklea Blueberry Yogurt Squishy Super Size 150g,https://www.aldi.com.au/fileadmin/_processed_/1/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_3_746474e66d.jpg,150g,99c,66c per 100g
Yopro Vanilla Yogurt Pouch 150g,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_4_a544d01c82.jpg,150g,$1.49,99c per 100g
Yopro Mango Yogurt Pouch 150g,https://www.aldi.com.au/fileadmin/_processed_/1/4/csm_ALN3662_1x1_SSV-NOV-B1_228x628_5_934b6191a4.jpg,150g,$1.49,99c per 100g
Monarch Indulge Gourmet Ice Cream Cookies 4pk/560ml – Assorted Flavours,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3662_1x1_SSV-NOV-B1_228x628_6_d8ae197a7b.jpg,ea,$3.49,62c per 100ml
Indulge Gourmet Ice Cream 1L – Vanilla Bean,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3662_1x1_SSV-NOV-B1_228x628_7_2027d400c9.jpg,1L,$3.99,40c per 100ml
"Indulge Gourmet Ice Cream 1L – Coffee Mocha, Belgian Chocolate or White Choc Raspberry",https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_ALN3662_1x1_SSV-NOV-B1_228x628_8_c8d254514d.jpg,ea,$3.99,40c per 100ml
Indulge Gourmet Ice Cream 1L – Cookies & Cream,https://www.aldi.com.au/fileadmin/_processed_/5/3/csm_ALN3662_1x1_SSV-NOV-B1_228x628_9_56a88ea20f.jpg,1L,$3.99,40c per 100ml
Streets Family Classic Value Pack 20pk/1.75L,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_ALN3662_1x1_SSV-NOV-B1_228x628_10_e0484f86eb.jpg,20pk,$16.99,97c per 100ml
Milfina Summer Delight 6pk/540ml – Caramel,https://www.aldi.com.au/fileadmin/_processed_/3/7/csm_ALN3662_1x1_SSV-NOV-B1_228x628_11_e6de4aae73.jpg,6pk,$3.99,74c per 100ml
Emporium Selection Persian Fetta 180g,https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3662_1x1_SSV-NOV-B1_228x628_12_9162bd29f3.jpg,180g,$2.99,$16.61 per kg
Snackers Market Little Pickers Cubed Tasty Cheese & Pretzels 40g,https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_ALN3662_1x1_SSV-NOV-B1_228x628_13_ffaa28cfb8.jpg,40g,99c,$24.75 per kg
Dentitex Interdental Pro Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,2pk,$1.89,95c per unit
Dentitex Orbit Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,2pk,$3.29,$1.65 per unit
Dentitex Mouthwash 1L Ultra Fresh or Tartar Control 1L,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_31_545b9de1d2.jpg,1L,$4.19,42c per 100ml
Dentitex Mouthwash 500ml,https://www.aldi.com.au/fileadmin/_processed_/7/1/csm_ALN3510_Q3_HEALTH_1x1_228x128_2_ccb4337aa7.jpg,500ml,$3.49,70c per ml
